Designator,Footprint,Quantity,Value,LCSC Part #
"1, 2, 3, 4, GND, LDO, VCC",TestPoint_Pad_D1.0mm,7,TestPoint,
A1,PinHeader_2x12_P1.27mm_Vertical_SMD,1,Conn_02x12_Odd_Even,
C1,0603,1,10uF,
C2,0603,1,0.1uF,
"C3, C4, C5",0805,3,2.2uF,
"D1, D13, D14, D6",LED Bar,4,BAR LED,
"D10, D3, D4, D5, D7, D8, D9, DT1, DT2, DT3",0805,10,LED,
"D11, D12",0603,2,LED,
"Q1, Q3, Q5, Q7",SOT-23,4,AO3400A,
"Q2, Q4, Q6, Q8",SOT-23,4,AO3401A,
R1,0603,1,651,
"R10, R11, R12, R5, R6, R7, R8, R9",0603,8,10K,
"R2, R3, R4",0603,3,100k,
SW1,Thumbwheel,1,~,
U1,Texas_RHA0040B_VQFN-40-1EP_6x6mm_P0.5mm_EP4.15x4.15mm_ThermalVias,1,TLC5951RHA,
"U10, U3, U5, U6, U7, U8",GS-2011AB,6,GS-S2011AB,
"U11, U2, U4, U9",7Seg SMD 0.8in Single,4,SMD 0.8in,
